index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249557,,,,,,,,1,1477,Vente,71.0,,AV,3824,FRANKLIN D ROOSEVELT,75008,PARIS 08,75,108,,BE,41,,13.0,,25.0,,26.0,,45.0,,,,4,2.0,Appartement,,47.0,2.0,,,,2.309864,48.872645,751083004.0,30.0,Saint Philippe du Roule,"540000,00"
249558,,,,,,,,1,1500,Vente,71.0,,RUE,8635,SAINT HONORE,75001,PARIS 01,75,101,,AT,83,,40.0,,72.0,"29,67",,,,,,,2,2.0,Appartement,,32.0,2.0,,,,2.344277,48.861098999999996,751010202.0,2.0,Les Halles,"345000,00"
249563,,,,,,,,1,1262,Vente,5.0,,RUE,4901,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,101,,AS,17,,8.0,"10,23",,,,,,,,,1,2.0,Appartement,,10.0,1.0,,,,2.339991,48.862289000000004,751010203.0,2.0,Les Halles,"85000,00"
249567,,,,,,,,1,1254,Vente,7.0,,RUE,6734,DE LA NEVA,75008,PARIS 08,75,108,,AY,16,,168.0,"16,20",169.0,,170.0,,,,,,3,2.0,Appartement,,21.0,1.0,,,,2.300361,48.877815999999996,751083002.0,30.0,Hoche-Friedland,"195000,00"
249575,,,,,,,,1,1258,Vente,341.0,,RUE,8694,SAINT MARTIN,75003,PARIS 03,75,103,,AB,119,,50.0,"31,58",,,,,,,,,1,2.0,Appartement,,31.0,1.0,,,,2.3549740000000003,48.868156,751030905.0,9.0,Arts et Métiers,"253800,00"
249576,,,,,,,,1,1266,Vente,56.0,,RUE,9382,DES TOURNELLES,75003,PARIS 03,75,103,,AN,56,,50.0,"179,80",70.0,,72.0,,,,,,3,2.0,Appartement,,170.0,2.0,,,,2.367403,48.856612,751031102.0,11.0,Archives,"1650000,00"
249586,,,,,,,,1,1477,Vente,24.0,,RUE,8724,DE SAINT PETERSBOURG,75008,PARIS 08,75,108,,CD,71,,55.0,,8.0,"24,63",,,,,,,2,2.0,Appartement,,25.0,2.0,,,,2.325498,48.881454,751083207.0,32.0,Europe,"275000,00"
249588,,,,,,,,1,1267,Vente,148.0,,RUE,8635,SAINT HONORE,75001,PARIS 01,75,101,,AS,72,,5.0,"24,65",,,,,,,,,1,2.0,Appartement,,27.0,1.0,,,,2.340421,48.861951,751010203.0,2.0,Les Halles,"300000,00"
249589,,,,,,,,1,1256,Vente,24.0,,RUE,1880,CHARLOT,75003,PARIS 03,75,103,,AK,104,,10.0,"29,44",11.0,,,,,,,,2,2.0,Appartement,,28.0,1.0,,,,2.361832,48.862179,751031003.0,10.0,Enfants Rouges,"235000,00"
249593,,,,,,,,1,1267,Vente,15.0,,RUE,0756,DE BEARN,75003,PARIS 03,75,103,,AN,39,,28.0,,29.0,,41.0,,,,,,3,2.0,Appartement,,22.0,1.0,,,,2.3662490000000003,48.857759,751031102.0,11.0,Archives,"233000,00"
